,number,state,value,datetime_start,datetime_complete,params,params,params,params,system_attrs
,,,,,,batch_size,lr,optimizer,weight_decay,_number
0,0,TrialState.COMPLETE,-0.6666666666666666,2019-10-15 16:12:23.986056,2019-10-15 16:12:26.269787,4,1.0728923128355112e-06,Adam,0.0003429854299051504,0
1,1,TrialState.COMPLETE,-1.0,2019-10-15 16:12:26.270068,2019-10-15 16:12:28.175711,32,0.0012866988636758266,SGD,2.9409290475749465e-09,1
2,2,TrialState.COMPLETE,-1.0,2019-10-15 16:12:28.176035,2019-10-15 16:12:30.056094,32,6.766741362987205e-05,SGD,2.4326676316522302e-06,2
3,3,TrialState.COMPLETE,-1.0,2019-10-15 16:12:30.056505,2019-10-15 16:12:32.067840,64,0.0002982835511092257,SGD,1.501268773123434e-06,3
4,4,TrialState.COMPLETE,-1.0,2019-10-15 16:12:32.068343,2019-10-15 16:12:33.919837,32,5.6168741287918136e-05,SGD,1.1636339898276402e-10,4
5,5,TrialState.COMPLETE,-0.6666666666666666,2019-10-15 16:12:33.920451,2019-10-15 16:12:35.761951,64,4.090207967908897e-06,SGD,3.704076817487105e-05,5
6,6,TrialState.COMPLETE,-1.0,2019-10-15 16:12:35.762601,2019-10-15 16:12:37.643604,2,0.00990428621561243,SGD,1.6066943654492513e-07,6
7,7,TrialState.COMPLETE,-0.6666666666666666,2019-10-15 16:12:37.644342,2019-10-15 16:12:40.534252,64,4.265764588208311e-08,Adam,6.002720798348178e-08,7
8,8,TrialState.COMPLETE,-1.0,2019-10-15 16:12:40.535573,2019-10-15 16:12:42.862187,1,0.0003443976147209897,SGD,1.732836607119745e-05,8
9,9,TrialState.COMPLETE,-0.6666666666666666,2019-10-15 16:12:42.863390,2019-10-15 16:12:44.859032,1,5.605483307949036e-06,SGD,0.0007882014023436859,9
